dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y1972;FSU;0.25;0.25;0.25;0.25;0.25
y1972;LAM;0.16;0.16;0.16;0.16;0.16
y1972;MEA;0.09;0.09;0.09;0.09;0.09
y1972;NAM;0.33;0.33;0.33;0.33;0.33
y1972;PAO;0.2;0.2;0.2;0.2;0.2
y1972;PAS;0.06;0.06;0.06;0.06;0.06
y1972;SAS;0.06;0.06;0.06;0.06;0.06
y1973;AFR;0.08;0.08;0.08;0.08;0.08
y1973;CPA;0.07;0.07;0.07;0.07;0.07
y1973;EUR;0.28;0.28;0.28;0.28;0.28
y1973;FSU;0.25;0.25;0.25;0.25;0.25
y1973;LAM;0.16;0.16;0.16;0.16;0.16
y1973;MEA;0.09;0.09;0.09;0.09;0.09
y1973;NAM;0.31;0.31;0.31;0.31;0.31
y1973;PAO;0.2;0.2;0.2;0.2;0.2
y1973;PAS;0.06;0.06;0.06;0.06;0.06
y1973;SAS;0.06;0.06;0.06;0.06;0.06
y1974;AFR;0.08;0.08;0.08;0.08;0.08
y1974;CPA;0.07;0.07;0.07;0.07;0.07
y1974;EUR;0.29;0.29;0.29;0.29;0.29
y1974;FSU;0.26;0.26;0.26;0.26;0.26
y1974;LAM;0.16;0.16;0.16;0.16;0.16
y1974;MEA;0.09;0.09;0.09;0.09;0.09
y1974;NAM;0.32;0.32;0.32;0.32;0.32
y1974;PAO;0.2;0.2;0.2;0.2;0.2
y1974;PAS;0.06;0.06;0.06;0.06;0.06
y1974;SAS;0.06;0.06;0.06;0.06;0.06
y1975;AFR;0.08;0.08;0.08;0.08;0.08
y1975;CPA;0.07;0.07;0.07;0.07;0.07
y1975;EUR;0.29;0.29;0.29;0.29;0.29
y1975;FSU;0.26;0.26;0.26;0.26;0.26
y1975;LAM;0.17;0.17;0.17;0.17;0.17
y1975;MEA;0.09;0.09;0.09;0.09;0.09
y1975;NAM;0.3;0.3;0.3;0.3;0.3
y1975;PAO;0.21;0.21;0.21;0.21;0.21
y1975;PAS;0.06;0.06;0.06;0.06;0.06
y1975;SAS;0.06;0.06;0.06;0.06;0.06
y1976;AFR;0.08;0.08;0.08;0.08;0.08
y1976;CPA;0.07;0.07;0.07;0.07;0.07
y1976;EUR;0.29;0.29;0.29;0.29;0.29
y1976;FSU;0.26;0.26;0.26;0.26;0.26
y1976;LAM;0.17;0.17;0.17;0.17;0.17
y1976;MEA;0.1;0.1;0.1;0.1;0.1
y1976;NAM;0.3;0.3;0.3;0.3;0.3
y1976;PAO;0.21;0.21;0.21;0.21;0.21
y1976;PAS;0.06;0.06;0.06;0.06;0.06
y1976;SAS;0.06;0.06;0.06;0.06;0.06
y1977;AFR;0.08;0.08;0.08;0.08;0.08
y1977;CPA;0.07;0.07;0.07;0.07;0.07
y1977;EUR;0.29;0.29;0.29;0.29;0.29
y1977;FSU;0.25;0.25;0.25;0.25;0.25
y1977;LAM;0.17;0.17;0.17;0.17;0.17
y1977;MEA;0.1;0.1;0.1;0.1;0.1
y1977;NAM;0.31;0.31;0.31;0.31;0.31
y1977;PAO;0.21;0.21;0.21;0.21;0.21
y1977;PAS;0.07;0.07;0.07;0.07;0.07
y1977;SAS;0.06;0.06;0.06;0.06;0.06
y1978;AFR;0.08;0.08;0.08;0.08;0.08
y1978;CPA;0.07;0.07;0.07;0.07;0.07
y1978;EUR;0.29;0.29;0.29;0.29;0.29
y1978;FSU;0.26;0.26;0.26;0.26;0.26
y1978;LAM;0.17;0.17;0.17;0.17;0.17
y1978;MEA;0.1;0.1;0.1;0.1;0.1
y1978;NAM;0.3;0.3;0.3;0.3;0.3
y1978;PAO;0.22;0.22;0.22;0.22;0.22
y1978;PAS;0.07;0.07;0.07;0.07;0.07
y1978;SAS;0.06;0.06;0.06;0.06;0.06
y1979;AFR;0.08;0.08;0.08;0.08;0.08
y1979;CPA;0.08;0.08;0.08;0.08;0.08
y1979;EUR;0.29;0.29;0.29;0.29;0.29
y1979;FSU;0.26;0.26;0.26;0.26;0.26
y1979;LAM;0.17;0.17;0.17;0.17;0.17
y1979;MEA;0.1;0.1;0.1;0.1;0.1
y1979;NAM;0.3;0.3;0.3;0.3;0.3
y1979;PAO;0.22;0.22;0.22;0.22;0.22
y1979;PAS;0.07;0.07;0.07;0.07;0.07
y1979;SAS;0.06;0.06;0.06;0.06;0.06
y1980;AFR;0.08;0.08;0.08;0.08;0.08
y1980;CPA;0.08;0.08;0.08;0.08;0.08
y1980;EUR;0.29;0.29;0.29;0.29;0.29
y1980;FSU;0.26;0.26;0.26;0.26;0.26
y1980;LAM;0.18;0.18;0.18;0.18;0.18
y1980;MEA;0.11;0.11;0.11;0.11;0.11
y1980;NAM;0.31;0.31;0.31;0.31;0.31
y1980;PAO;0.22;0.22;0.22;0.22;0.22
y1980;PAS;0.07;0.07;0.07;0.07;0.07
y1980;SAS;0.06;0.06;0.06;0.06;0.06
y1981;AFR;0.09;0.09;0.09;0.09;0.09
y1981;CPA;0.08;0.08;0.08;0.08;0.08
y1981;EUR;0.3;0.3;0.3;0.3;0.3
y1981;FSU;0.25;0.25;0.25;0.25;0.25
y1981;LAM;0.17;0.17;0.17;0.17;0.17
y1981;MEA;0.11;0.11;0.11;0.11;0.11
y1981;NAM;0.3;0.3;0.3;0.3;0.3
y1981;PAO;0.22;0.22;0.22;0.22;0.22
y1981;PAS;0.07;0.07;0.07;0.07;0.07
y1981;SAS;0.06;0.06;0.06;0.06;0.06
y1982;AFR;0.09;0.09;0.09;0.09;0.09
y1982;CPA;0.08;0.08;0.08;0.08;0.08
y1982;EUR;0.29;0.29;0.29;0.29;0.29
y1982;FSU;0.25;0.25;0.25;0.25;0.25
y1982;LAM;0.17;0.17;0.17;0.17;0.17
y1982;MEA;0.11;0.11;0.11;0.11;0.11
y1982;NAM;0.3;0.3;0.3;0.3;0.3
y1982;PAO;0.22;0.22;0.22;0.22;0.22
y1982;PAS;0.07;0.07;0.07;0.07;0.07
y1982;SAS;0.07;0.07;0.07;0.07;0.07
y1983;AFR;0.08;0.08;0.08;0.08;0.08
y1983;CPA;0.08;0.08;0.08;0.08;0.08
y1983;EUR;0.29;0.29;0.29;0.29;0.29
y1983;FSU;0.25;0.25;0.25;0.25;0.25
y1983;LAM;0.17;0.17;0.17;0.17;0.17
y1983;MEA;0.11;0.11;0.11;0.11;0.11
y1983;NAM;0.3;0.3;0.3;0.3;0.3
y1983;PAO;0.22;0.22;0.22;0.22;0.22
y1983;PAS;0.08;0.08;0.08;0.08;0.08
y1983;SAS;0.06;0.06;0.06;0.06;0.06
y1984;AFR;0.08;0.08;0.08;0.08;0.08
y1984;CPA;0.08;0.08;0.08;0.08;0.08
y1984;EUR;0.3;0.3;0.3;0.3;0.3
y1984;FSU;0.26;0.26;0.26;0.26;0.26
y1984;LAM;0.17;0.17;0.17;0.17;0.17
y1984;MEA;0.11;0.11;0.11;0.11;0.11
y1984;NAM;0.3;0.3;0.3;0.3;0.3
y1984;PAO;0.22;0.22;0.22;0.22;0.22
y1984;PAS;0.08;0.08;0.08;0.08;0.08
y1984;SAS;0.07;0.07;0.07;0.07;0.07
y1985;AFR;0.08;0.08;0.08;0.08;0.08
y1985;CPA;0.09;0.09;0.09;0.09;0.09
y1985;EUR;0.3;0.3;0.3;0.3;0.3
y1985;FSU;0.27;0.27;0.27;0.27;0.27
y1985;LAM;0.17;0.17;0.17;0.17;0.17
y1985;MEA;0.11;0.11;0.11;0.11;0.11
y1985;NAM;0.3;0.3;0.3;0.3;0.3
y1985;PAO;0.22;0.22;0.22;0.22;0.22
y1985;PAS;0.08;0.08;0.08;0.08;0.08
y1985;SAS;0.07;0.07;0.07;0.07;0.07
y1986;AFR;0.08;0.08;0.08;0.08;0.08
y1986;CPA;0.1;0.1;0.1;0.1;0.1
y1986;EUR;0.29;0.29;0.29;0.29;0.29
y1986;FSU;0.27;0.27;0.27;0.27;0.27
y1986;LAM;0.17;0.17;0.17;0.17;0.17
y1986;MEA;0.1;0.1;0.1;0.1;0.1
y1986;NAM;0.3;0.3;0.3;0.3;0.3
y1986;PAO;0.23;0.23;0.23;0.23;0.23
y1986;PAS;0.08;0.08;0.08;0.08;0.08
y1986;SAS;0.07;0.07;0.07;0.07;0.07
y1987;AFR;0.08;0.08;0.08;0.08;0.08
y1987;CPA;0.1;0.1;0.1;0.1;0.1
y1987;EUR;0.29;0.29;0.29;0.29;0.29
y1987;FSU;0.27;0.27;0.27;0.27;0.27
y1987;LAM;0.17;0.17;0.17;0.17;0.17
