dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y2010;LAM;NA;0.21;0.19;0.22;0.19
y2010;MEA;NA;0.12;0.11;0.12;0.11
y2010;NAM;NA;0.29;0.28;0.25;0.25
y2010;PAO;NA;0.25;0.25;0.22;0.22
y2010;PAS;NA;0.13;0.11;0.14;0.15
y2010;SAS;NA;0.1;0.09;0.11;0.08
y2015;AFR;NA;0.1;0.09;0.1;0.08
y2015;CPA;NA;0.22;0.16;0.19;0.28
y2015;EUR;NA;0.3;0.28;0.27;0.26
y2015;FSU;NA;0.3;0.26;0.25;0.27
y2015;LAM;NA;0.23;0.19;0.23;0.2
y2015;MEA;NA;0.14;0.12;0.13;0.11
y2015;NAM;NA;0.29;0.28;0.24;0.24
y2015;PAO;NA;0.25;0.25;0.21;0.22
y2015;PAS;NA;0.14;0.12;0.15;0.16
y2015;SAS;NA;0.12;0.1;0.12;0.09
y2020;AFR;NA;0.11;0.1;0.11;0.09
y2020;CPA;NA;0.23;0.16;0.21;0.3
y2020;EUR;NA;0.3;0.28;0.26;0.26
y2020;FSU;NA;0.32;0.26;0.28;0.28
y2020;LAM;NA;0.24;0.19;0.24;0.21
y2020;MEA;NA;0.15;0.12;0.14;0.12
y2020;NAM;NA;0.29;0.28;0.23;0.23
y2020;PAO;NA;0.25;0.25;0.2;0.22
y2020;PAS;NA;0.15;0.12;0.16;0.17
y2020;SAS;NA;0.13;0.1;0.14;0.1
y2025;AFR;NA;0.12;0.1;0.12;0.09
y2025;CPA;NA;0.26;0.17;0.23;0.32
y2025;EUR;NA;0.3;0.28;0.25;0.25
y2025;FSU;NA;0.34;0.27;0.3;0.29
y2025;LAM;NA;0.26;0.2;0.25;0.22
y2025;MEA;NA;0.16;0.13;0.16;0.12
y2025;NAM;NA;0.29;0.28;0.22;0.22
y2025;PAO;NA;0.26;0.25;0.2;0.21
y2025;PAS;NA;0.17;0.13;0.17;0.18
y2025;SAS;NA;0.14;0.11;0.16;0.12
y2030;AFR;NA;0.13;0.11;0.14;0.1
y2030;CPA;NA;0.28;0.18;0.25;0.33
y2030;EUR;NA;0.3;0.28;0.24;0.24
y2030;FSU;NA;0.35;0.27;0.31;0.31
y2030;LAM;NA;0.27;0.2;0.26;0.23
y2030;MEA;NA;0.17;0.14;0.17;0.13
y2030;NAM;NA;0.29;0.28;0.21;0.21
y2030;PAO;NA;0.26;0.25;0.19;0.21
y2030;PAS;NA;0.18;0.14;0.18;0.18
y2030;SAS;NA;0.15;0.11;0.18;0.13
y2035;AFR;NA;0.15;0.12;0.15;0.11
y2035;CPA;NA;0.29;0.18;0.26;0.34
y2035;EUR;NA;0.31;0.27;0.23;0.24
y2035;FSU;NA;0.36;0.27;0.32;0.31
y2035;LAM;NA;0.28;0.2;0.26;0.24
y2035;MEA;NA;0.18;0.14;0.18;0.14
y2035;NAM;NA;0.29;0.27;0.2;0.2
y2035;PAO;NA;0.26;0.25;0.18;0.2
y2035;PAS;NA;0.2;0.14;0.18;0.19
y2035;SAS;NA;0.16;0.12;0.2;0.15
y2040;AFR;NA;0.16;0.12;0.16;0.12
y2040;CPA;NA;0.3;0.18;0.28;0.34
y2040;EUR;NA;0.31;0.27;0.22;0.23
y2040;FSU;NA;0.37;0.27;0.32;0.32
y2040;LAM;NA;0.28;0.2;0.25;0.25
y2040;MEA;NA;0.19;0.14;0.19;0.15
y2040;NAM;NA;0.29;0.27;0.19;0.19
y2040;PAO;NA;0.26;0.25;0.17;0.2
y2040;PAS;NA;0.21;0.15;0.19;0.19
y2040;SAS;NA;0.17;0.12;0.22;0.16
y2045;AFR;NA;0.17;0.12;0.17;0.13
y2045;CPA;NA;0.3;0.18;0.29;0.34
y2045;EUR;NA;0.3;0.27;0.21;0.22
y2045;FSU;NA;0.37;0.27;0.31;0.31
y2045;LAM;NA;0.28;0.2;0.25;0.25
y2045;MEA;NA;0.2;0.15;0.19;0.16
y2045;NAM;NA;0.29;0.27;0.18;0.18
y2045;PAO;NA;0.26;0.25;0.16;0.19
y2045;PAS;NA;0.21;0.15;0.19;0.19
y2045;SAS;NA;0.17;0.13;0.23;0.18
y2050;AFR;NA;0.18;0.13;0.18;0.14
y2050;CPA;NA;0.3;0.18;0.3;0.34
y2050;EUR;NA;0.3;0.26;0.19;0.2
y2050;FSU;NA;0.36;0.26;0.3;0.29
y2050;LAM;NA;0.28;0.2;0.24;0.24
y2050;MEA;NA;0.2;0.15;0.19;0.17
y2050;NAM;NA;0.29;0.26;0.16;0.17
y2050;PAO;NA;0.26;0.25;0.15;0.19
y2050;PAS;NA;0.22;0.15;0.2;0.2
y2050;SAS;NA;0.18;0.13;0.25;0.19
y2055;AFR;NA;0.19;0.13;0.19;0.15
y2055;CPA;NA;0.3;0.18;0.3;0.33
y2055;EUR;NA;0.3;0.26;0.17;0.19
y2055;FSU;NA;0.35;0.26;0.28;0.28
y2055;LAM;NA;0.28;0.2;0.23;0.24
y2055;MEA;NA;0.21;0.15;0.19;0.18
y2055;NAM;NA;0.28;0.26;0.15;0.16
y2055;PAO;NA;0.26;0.25;0.14;0.18
y2055;PAS;NA;0.23;0.16;0.2;0.2
y2055;SAS;NA;0.19;0.13;0.25;0.2
y2060;AFR;NA;0.19;0.14;0.2;0.16
y2060;CPA;NA;0.3;0.18;0.3;0.32
y2060;EUR;NA;0.29;0.26;0.16;0.18
y2060;FSU;NA;0.35;0.25;0.26;0.26
y2060;LAM;NA;0.28;0.2;0.22;0.23
y2060;MEA;NA;0.21;0.16;0.19;0.18
y2060;NAM;NA;0.28;0.26;0.14;0.15
y2060;PAO;NA;0.26;0.24;0.13;0.17
y2060;PAS;NA;0.24;0.16;0.2;0.2
y2060;SAS;NA;0.19;0.14;0.26;0.21
y2065;AFR;NA;0.2;0.14;0.2;0.16
y2065;CPA;NA;0.29;0.18;0.3;0.31
y2065;EUR;NA;0.29;0.25;0.14;0.17
y2065;FSU;NA;0.33;0.25;0.24;0.24
y2065;LAM;NA;0.27;0.2;0.2;0.23
y2065;MEA;NA;0.21;0.16;0.18;0.18
y2065;NAM;NA;0.28;0.26;0.13;0.14
y2065;PAO;NA;0.26;0.24;0.12;0.17
y2065;PAS;NA;0.24;0.17;0.2;0.2
y2065;SAS;NA;0.2;0.14;0.26;0.21
y2070;AFR;NA;0.2;0.14;0.2;0.17
y2070;CPA;NA;0.28;0.18;0.3;0.3
y2070;EUR;NA;0.28;0.25;0.12;0.16
y2070;FSU;NA;0.32;0.24;0.21;0.22
y2070;LAM;NA;0.27;0.2;0.19;0.22
y2070;MEA;NA;0.21;0.16;0.17;0.19
y2070;NAM;NA;0.27;0.25;0.12;0.13
y2070;PAO;NA;0.26;0.24;0.12;0.16
y2070;PAS;NA;0.25;0.17;0.2;0.2
y2070;SAS;NA;0.2;0.14;0.26;0.22
y2075;AFR;NA;0.2;0.15;0.21;0.17
y2075;CPA;NA;0.28;0.18;0.28;0.28
y2075;EUR;NA;0.27;0.24;0.11;0.15
y2075;FSU;NA;0.31;0.23;0.19;0.2
y2075;LAM;NA;0.26;0.2;0.18;0.21
y2075;MEA;NA;0.21;0.16;0.17;0.19
y2075;NAM;NA;0.27;0.25;0.11;0.12
y2075;PAO;NA;0.26;0.24;0.11;0.16
y2075;PAS;NA;0.25;0.17;0.2;0.2
y2075;SAS;NA;0.2;0.14;0.25;0.22
y2080;AFR;NA;0.2;0.15;0.2;0.17
y2080;CPA;NA;0.27;0.18;0.27;0.27
y2080;EUR;NA;0.27;0.24;0.09;0.14
y2080;FSU;NA;0.29;0.23;0.16;0.18
y2080;LAM;NA;0.26;0.2;0.17;0.2
y2080;MEA;NA;0.21;0.16;0.16;0.19
y2080;NAM;NA;0.26;0.24;0.1;0.11
y2080;PAO;NA;0.25;0.23;0.1;0.15
y2080;PAS;NA;0.25;0.17;0.19;0.2
y2080;SAS;NA;0.2;0.15;0.25;0.22
y2085;AFR;NA;0.2;0.15;0.2;0.17
y2085;CPA;NA;0.26;0.17;0.25;0.26
y2085;EUR;NA;0.26;0.23;0.08;0.13
y2085;FSU;NA;0.28;0.22;0.14;0.17
y2085;LAM;NA;0.25;0.2;0.15;0.19
y2085;MEA;NA;0.21;0.17;0.15;0.19
y2085;NAM;NA;0.26;0.24;0.09;0.1
y2085;PAO;NA;0.25;0.23;0.09;0.14
y2085;PAS;NA;0.25;0.17;0.19;0.2
y2085;SAS;NA;0.2;0.15;0.24;0.22
y2090;AFR;NA;0.2;0.15;0.19;0.17
y2090;CPA;NA;0.25;0.17;0.22;0.24
y2090;EUR;NA;0.25;0.23;0.07;0.12
y2090;FSU;NA;0.27;0.21;0.12;0.15
y2090;LAM;NA;0.24;0.19;0.14;0.18
y2090;MEA;NA;0.21;0.17;0.14;0.19
y2090;NAM;NA;0.25;0.23;0.08;0.09
y2090;PAO;NA;0.25;0.23;0.08;0.14
y2090;PAS;NA;0.24;0.18;0.18;0.2
y2090;SAS;NA;0.2;0.15;0.23;0.22
y2095;AFR;NA;0.2;0.15;0.19;0.17
y2095;CPA;NA;0.24;0.17;0.19;0.23
y2095;EUR;NA;0.25;0.22;0.06;0.11
y2095;FSU;NA;0.25;0.2;0.1;0.14
y2095;LAM;NA;0.24;0.19;0.13;0.17
y2095;MEA;NA;0.21;0.17;0.13;0.19
y2095;NAM;NA;0.24;0.23;0.07;0.08
y2095;PAO;NA;0.24;0.22;0.08;0.13
y2095;PAS;NA;0.24;0.18;0.18;0.19
y2095;SAS;NA;0.2;0.15;0.22;0.22
y2100;AFR;NA;0.2;0.15;0.18;0.17
y2100;CPA;NA;0.23;0.16;0.16;0.21
y2100;EUR;NA;0.24;0.21;0.05;0.1
y2100;FSU;NA;0.23;0.19;0.09;0.13
y2100;LAM;NA;0.23;0.19;0.12;0.17
y2100;MEA;NA;0.21;0.17;0.12;0.19
y2100;NAM;NA;0.24;0.22;0.06;0.07
y2100;PAO;NA;0.24;0.22;0.07;0.12
y2100;PAS;NA;0.24;0.18;0.17;0.19
y2100;SAS;NA;0.2;0.15;0.21;0.21
